iter	RMSE
0	1710760.24
1	1673916.665
2	1633876.718
3	1597134.909
4	1564000.972
5	1530120.252
6	1501808.925
7	1470926.275
8	1441626.164
9	1412047.968
10	1387520.879
11	1361460.527
12	1341358.27
13	1319865.216
14	1296194.724
15	1276760.425
16	1256645.343
17	1239947.41
18	1222141.636
19	1203407.05
20	1184072.633
21	1169078.239
22	1155656.238
23	1143733.367
24	1130500.979
25	1117766.369
26	1106208.375
27	1093931.456
28	1084217.513
29	1072597.158
30	1064637.801
31	1057404.988
32	1046473.465
33	1036337.352
34	1026792.603
35	1020729.467
36	1013037.639
37	1005021.923
38	997562.9525
39	990764.8812
40	986495.2088
41	981469.5522
42	974579.3207
43	966150.5924
44	959598.3004
45	952487.9126
46	948071.071
47	940375.345
48	933716.5695
49	925796.2398
50	918436.712
51	912640.3306
52	907978.2702
53	901919.1037
54	897407.088
55	892779.6849
56	888534.3169
57	884107.2486
58	881014.3522
59	875978.6342
60	872238.7977
61	867007.3877
62	862891.1534
63	858824.8387
64	856208.3298
65	853693.8363
66	849361.2335
67	847827.3992
68	844610.351
69	840156.3951
70	837373.2095
71	833802.0284
72	830040.155
73	826723.8312
74	823191.0878
75	820301.8651
76	817702.1733
77	816712.249
78	814941.2167
79	812890.4646
80	811563.613
81	810701.3579
82	809116.7571
83	805101.8016
84	804579.2794
85	801736.836
86	798365.0808
87	797110.7249
88	794223.0905
89	791449.1259
90	787205.2458
91	783752.013
92	781644.8335
93	778959.9128
94	776958.7417
95	773787.3658
96	771686.8807
97	768987.657
98	764708.5893
99	762659.006
