iter	Passed	Remaining
0	2	222
1	5	248
2	6	216
3	8	203
4	10	194
5	11	185
6	13	183
7	15	174
8	17	171
9	20	182
10	22	180
11	24	178
12	25	173
13	28	173
14	30	174
15	32	172
16	35	171
17	37	168
18	38	165
19	40	161
20	42	159
21	43	154
22	44	150
23	46	145
24	47	142
25	49	141
26	51	140
27	53	136
28	55	134
29	56	132
30	58	129
31	59	127
32	61	124
33	62	121
34	64	119
35	67	119
36	68	117
37	70	115
38	72	113
39	73	110
40	74	106
41	75	103
42	76	100
43	77	98
44	78	95
45	81	95
46	83	93
47	84	91
48	86	89
49	87	87
50	89	85
51	90	83
52	91	80
53	92	78
54	93	76
55	94	74
56	96	73
57	98	71
58	100	69
59	102	68
60	103	66
61	104	64
62	105	62
63	106	60
64	107	58
65	109	56
66	110	54
67	111	52
68	114	51
69	115	49
70	117	47
71	118	46
72	120	44
73	121	42
74	122	40
75	123	39
76	125	37
77	126	35
78	129	34
79	130	32
80	131	30
81	132	29
82	134	27
83	135	25
84	135	23
85	137	22
86	138	20
87	138	18
88	139	17
89	141	15
90	144	14
91	146	12
92	147	11
93	149	9
94	151	7
95	152	6
96	153	4
97	154	3
98	155	1
99	157	0
