iter	RMSE
0	1854374.894
1	1827797.971
2	1795930.224
3	1767224.951
4	1742259.28
5	1718613.056
6	1692195.747
7	1667871.178
8	1644136.071
9	1621011.063
10	1597483.765
11	1574277.288
12	1553308.579
13	1531757.608
14	1514226.419
15	1494268.624
16	1474212.69
17	1458725.105
18	1439993.315
19	1423413.587
20	1407280.291
21	1392214.785
22	1376679.871
23	1362416.115
24	1346746.798
25	1331903.638
26	1317861.658
27	1307219.935
28	1297515.515
29	1283660.422
30	1271174.776
31	1257613.779
32	1245692.779
33	1234645.93
34	1224693.529
35	1213610.863
36	1203519.265
37	1193375.563
38	1185180.811
39	1174233.657
40	1165102.071
41	1156865.584
42	1147390.754
43	1139165.771
44	1130310.832
45	1122181.153
46	1114119.706
47	1107069.487
48	1098440.312
49	1092101.751
50	1086381.796
51	1079647.129
52	1073530.77
53	1066176.753
54	1060341.275
55	1054635.114
56	1049407.791
57	1044679.338
58	1039375.412
59	1033098.935
60	1027346.161
61	1022540.517
62	1018723.505
63	1014379.419
64	1009960.263
65	1004757.277
66	998831.1775
67	994519.5891
68	989045.2852
69	983088.869
70	978900.3545
71	974416.3424
72	969393.6952
73	964294.928
74	962090.0596
75	959187.3285
76	955689.2393
77	952648.7567
78	948706.7757
79	944592.9385
80	939925.3245
81	935328.0944
82	931046.5428
83	927931.6829
84	925018.7729
85	921217.3322
86	920514.4329
87	918659.1361
88	915367.3827
89	914091.8045
90	912630.9794
91	910238.9825
92	906900.5445
93	904917.5995
94	901969.0456
95	898443.705
96	896009.4718
97	893318.2448
98	890479.3359
99	888356.6711
100	887234.2182
101	884749.1487
102	882013.8638
103	880027.4427
104	878274.8567
105	876167.3425
106	873669.0635
107	871543.7133
108	869316.6991
109	868090.1186
110	866367.9798
111	863030.8063
112	859767.6743
113	859004.6394
114	856034.0158
115	854083.1221
116	852581.8139
117	850644.0283
118	847271.7473
119	846189.3411
120	843986.9198
121	841338.9678
122	839989.3213
123	837881.5096
124	836699.3439
125	834931.0174
126	833409.9954
127	830766.3508
128	829018.4508
129	826892.6144
130	825386.6506
131	823063.2977
132	820831.1816
133	818726.6132
134	817336.112
135	814273.1798
136	812804.2662
137	811387.849
138	809144.3131
139	806631.363
140	805942.8771
141	804238.493
142	802841.6535
143	801084.4004
144	798771.655
145	797128.4495
146	795969.8532
147	794134.3798
148	793332.2314
149	791766.3778
150	790856.8419
151	789132.3169
152	786662.5857
153	786010.9683
154	784546.3472
155	782686.6386
156	781717.1636
157	781290.383
158	780436.3621
159	778288.6629
160	776671.5235
161	775487.5504
162	774598.4913
163	773476.066
164	771856.4435
165	770549.6833
166	768943.0949
167	767677.4393
168	765878.6697
169	765083.8973
170	763895.3982
171	762329.3366
172	760779.8689
173	759235.4957
174	757614.8601
175	756285.3541
176	754923.6724
177	753598.1725
178	752043.8254
179	751188.2655
180	749644.1167
181	748966.6783
182	748299.5908
183	747565.714
184	746620.0895
185	745323.9757
186	744746.9259
187	743987.1695
188	743489.2782
189	742490.9442
190	741640.9273
191	740600.3917
192	740038.1287
193	739388.3346
194	738577.7111
195	737982.5064
196	736511.2237
197	734841.4689
198	733532.9111
199	732502.7943
200	730568.6558
201	730167.3416
202	729527.5803
203	729175.8338
204	728242.4592
205	726970.5533
206	724718.0235
207	723384.0225
208	721729.7825
209	721387.5771
210	719209.1325
211	718129.116
212	717649.3006
213	716762.2603
214	716370.4579
215	715391.6339
216	713797.2374
217	712112.1953
218	710960.3128
219	710505.5337
220	708785.1797
221	707287.5548
222	706822.0334
223	705401.966
224	704976.205
225	704554.7989
226	702967.1592
227	701034.6936
228	700313.2154
229	699508.6791
230	699184.1137
231	698228.2774
232	697316.0991
233	696819.1307
234	696037.8611
235	695296.0814
236	694796.4383
237	693350.7877
238	692325.9371
239	691317.0821
240	690480.4632
241	690056.4868
242	689218.4297
243	688220.6658
244	686689.622
245	686261.9876
246	685483.5937
247	684361.687
248	683635.0273
249	682353.1285
250	682040.5521
251	681682.0295
252	681218.0671
253	680699.6085
254	680285.9068
255	679564.8464
256	678153.212
257	676993.7794
258	676282.7184
259	675485.2811
260	674793.6685
261	674171.6868
262	674016.5337
263	672745.1191
264	671182.9651
265	670435.9386
266	669753.5185
267	669303.7447
268	668662.178
269	668339.807
270	668258.4854
271	667657.7109
272	666594.2213
273	665421.3004
274	663382.6761
275	662563.1955
276	661488.8735
277	659931.4275
278	658423.137
279	657764.7244
280	657693.5082
281	656300.2065
282	655708.4061
283	655055.5914
284	653987.4375
285	652550.708
286	652472.137
287	652184.2427
288	652080.5034
289	651856.6566
290	650194.4664
291	649253.1096
292	648197.7866
293	646990.9103
294	645826.742
295	645754.2136
296	643968.5695
297	642851.4765
298	641528.9537
299	640862.0599
300	640506.3376
301	640242.4906
302	639871.152
303	639453.6835
304	638893.5617
305	638500.9905
306	638190.1442
307	636315.0038
308	635984.7587
309	635647.9706
310	634873.2776
311	634809.6676
312	634545.8705
313	634410.0435
314	632790.2209
315	632728.9498
316	632671.7373
317	631535.9613
318	630281.8042
319	629220.1409
320	628196.7977
321	627161.16
322	625957.3736
323	625643.1784
324	624936.329
325	623958.6134
326	623565.7581
327	623258.1829
328	622723.6171
329	622540.4271
330	621761.288
331	620959.9243
332	620042.3995
333	619254.5906
334	618942.9711
335	618476.014
336	617587.4705
337	616332.5523
338	616285.8912
339	616076.8564
340	615980.4998
341	615822.5552
342	614653.0586
343	614560.0842
344	613853.8928
345	613429.237
346	612213.6678
347	610858.1645
348	610614.7754
349	610573.4654
350	609808.4874
351	609745.3575
352	608586.8485
353	608323.1203
354	607650.6353
355	607361.3774
356	607322.3468
357	607064.5925
358	606249.2763
359	606138.2939
360	605777.2542
361	605648.8736
362	604146.7828
363	603241.5009
364	602054.297
365	601643.5494
366	599595.8449
367	598629.1504
368	597572.8862
369	597175.7134
370	596384.9655
371	595853.5561
372	595043.111
373	594646.2643
374	594062.44
375	592521.5815
376	591248.8116
377	591058.1098
378	589847.2891
379	588986.7571
380	588360.8528
381	587529.6526
382	586671.2279
383	585863.8602
384	585126.1679
385	584548.7853
386	583899.8498
387	583843.4113
388	583261.4471
389	582699.9454
390	582026.0367
391	581798.3582
392	580568.476
393	580482.7756
394	579941.7023
395	579178.5911
396	579143.7368
397	578929.5093
398	578376.4098
399	578342.0578
400	577810.7778
401	576940.5343
402	576489.2663
403	576167.9554
404	576127.9887
405	575500.0013
406	574893.1744
407	574393.6552
408	573543.2677
409	572889.3198
410	572315.7405
411	571683.6677
412	571027.3499
413	570996.3394
414	570135.2195
415	569927.0801
416	569409.0636
417	568978.71
418	568097.7148
419	566949.9914
420	566234.1553
421	566199.2021
422	566168.0249
423	565808.2118
424	565645.563
425	564893.6331
426	564360.3312
427	564329.7472
428	563767.3151
429	563313.5785
430	563161.6465
431	562655.5049
432	561551.7505
433	561136.22
434	560752.2219
435	560061.2124
436	560032.8243
437	559320.9696
438	558833.7931
439	558243.4491
440	557780.2646
441	557201.8119
442	556829.556
443	556655.1622
444	556475.4136
445	556420.802
446	556398.3962
447	555856.0094
448	555079.313
449	555051.579
450	553628.1423
451	552641.4878
452	552608.8436
453	551764.659
454	551410.067
455	550692.9198
456	550018.4713
457	549985.1675
458	548483.2781
459	548458.1864
460	548019.473
461	547943.9491
462	547393.6472
463	547361.5206
464	546731.8314
465	545965.6132
466	545538.943
467	545507.6301
468	544995.0508
469	544600.9154
470	544320.6244
471	543539.7546
472	543426.3311
473	542650.2262
474	542446.429
475	542296.4311
476	541318.3429
477	541289.3019
478	540722.9166
479	540699.7251
480	540667.6213
481	540289.3544
482	538753.444
483	538345.5998
484	537956.4001
485	537235.0941
486	536719.0716
487	536549.5977
488	535584.7436
489	535195.4639
490	533867.5036
491	533646.3159
492	532851.8454
493	532689.0418
494	531880.5233
495	531497.7799
496	531329.3683
497	531303.0202
498	530935.2683
499	530497.7401
500	529832.9571
501	528839.6671
502	528260.4268
503	527803.7538
504	527034.5698
505	526173.8638
506	525313.8118
507	525292.4514
508	524868.3368
509	523502.718
510	523440.443
511	523414.7556
512	523261.7719
513	522818.7536
514	521217.8117
515	520590.8576
516	519421.3528
517	518794.0139
518	518332.165
519	517531.7287
520	517510.4165
521	516946.125
522	516514.0842
523	516018.6634
524	515051.3116
525	513826.5973
526	513383.8461
527	513331.3685
528	512340.1912
529	511407.8469
530	511375.3138
531	510953.8103
532	510612.8813
533	510435.6203
534	510342.8145
535	509856.3524
536	509523.4527
537	509169.2802
538	509146.4777
539	508791.7403
540	508404.7152
541	507237.0394
542	506943.7817
543	506408.4038
544	505737.4411
545	505719.5449
546	505701.8367
547	505494.8787
548	505160.4734
549	504866.0421
550	503658.1153
551	503000.37
552	502932.989
553	502912.0361
554	501853.8753
555	501318.9784
556	501255.6945
557	501072.8889
558	500571.8442
559	499665.8804
560	499350.3856
561	498777.3883
562	498198.2686
563	497916.8318
564	497764.3448
565	497387.7302
566	496905.871
567	496485.9118
568	496013.5488
569	495718.1569
570	495497.2263
571	495480.7407
572	495461.0637
573	495039.6541
574	494952.8644
575	494595.2015
576	493745.4433
577	493345.7903
578	493036.1414
579	492508.8208
580	492490.0265
581	492054.5419
582	491283.4627
583	491130.7462
584	491084.6948
585	490608.9561
586	490254.9539
587	489203.0451
588	488092.5869
589	487157.6165
590	486758.0613
591	486223.805
592	485608.2838
593	485593.6694
594	484682.0498
595	484307.1747
596	483721.8432
597	483707.1303
598	483173.952
599	482960.6761
600	482276.2676
601	481938.3558
602	481573.1929
603	481555.7083
604	481252.4473
605	480726.9949
606	480350.2759
607	480335.8578
608	480004.8163
609	479568.3385
610	478979.9215
611	478822.0294
612	478762.0204
613	478307.1617
614	478290.2875
615	477334.7032
616	477321.4371
617	477161.9212
618	476848.2546
619	476512.9995
620	476095.2005
621	475765.4977
622	475101.3311
623	474163.0197
624	473862.6804
625	473480.7219
626	472616.7179
627	472457.4035
628	471511.4104
629	470199.7879
630	469895.7156
631	469321.6948
632	468459.7839
633	467948.1702
634	467131.4581
635	466591.0897
636	466055.9421
637	465552.4992
638	465160.2766
639	464790.7968
640	464640.035
641	464333.6357
642	464186.3525
643	464160.8726
644	464017.7278
645	463739.8363
646	462945.5112
647	462870.205
648	462771.2215
649	462757.9595
650	462033.2455
651	461882.9287
652	461706.2713
653	460901.3758
654	460385.5552
655	460372.4886
656	459908.4148
657	459659.8516
658	459395.7845
659	458852.0327
660	458447.6942
661	458195.9223
662	458065.4614
663	458042.3955
664	457950.8663
665	457686.4593
666	457439.2668
667	457189.2652
668	456726.9676
669	456275.9437
670	455826.4004
671	455385.5323
672	455152.2929
673	454837.2528
674	454615.3556
675	453910.774
676	453899.9814
677	453537.7576
678	453433.6176
679	453337.8952
680	453055.3588
681	452955.6114
682	452158.2498
683	452145.7563
684	451601.7528
685	451248.4982
686	450558.0741
687	450153.9149
688	449886.0267
689	449716.9228
690	449430.5243
691	449418.5011
692	449344.7487
693	449142.0513
694	449028.3127
695	448661.4764
696	448129.2204
697	447873.8594
698	447613.7272
699	447339.4956
700	446748.9905
701	446449.7575
702	445891.3699
703	445763.9728
704	445489.6107
705	445242.615
706	444851.142
707	444750.6335
708	444621.5477
709	444303.988
710	444097.4057
711	443806.6829
712	443372.203
713	443195.1895
714	442121.6553
715	441778.1625
716	441247.0844
717	441022.4134
718	440651.433
719	440092.5179
720	439670.8614
721	439576.8218
722	439264.1076
723	439000.4159
724	438741.6475
725	438500.2402
726	438426.7909
727	438416.9378
728	438087.8904
729	438010.8615
730	437697.6139
731	437663.2372
732	436928.9895
733	436843.2677
734	436167.4374
735	435661.7935
736	435442.9629
737	434640.332
738	434188.9144
739	434113.808
740	433937.9463
741	433615.6079
742	433521.25
743	433184.425
744	432851.6583
745	432723.6304
746	432009.4979
747	431822.6055
748	431487.2212
749	431340.7217
750	430565.1773
751	430041.8443
