iter	Passed	Remaining
0	1	1153
1	2	1147
2	3	1091
3	5	1329
4	6	1216
5	7	1176
6	8	1154
7	9	1145
8	10	1153
9	11	1137
10	12	1130
11	13	1126
12	14	1118
13	15	1107
14	16	1080
15	17	1081
16	18	1077
17	19	1048
18	21	1096
19	22	1095
20	23	1097
21	24	1103
22	25	1098
23	26	1090
24	27	1084
25	28	1082
26	29	1077
27	30	1069
28	31	1047
29	32	1046
30	33	1043
31	34	1037
32	35	1040
33	37	1068
34	38	1065
35	39	1068
36	41	1071
37	42	1067
38	43	1063
39	44	1060
40	45	1053
41	45	1046
42	46	1043
43	47	1040
44	48	1034
45	49	1028
46	50	1025
47	53	1054
48	54	1056
49	55	1055
50	56	1055
51	57	1050
52	58	1049
53	59	1043
54	60	1038
55	61	1033
56	61	1023
57	62	1019
58	63	1014
59	64	1010
60	65	1011
61	67	1023
62	68	1017
63	81	1194
64	83	1198
65	85	1205
66	86	1204
67	87	1203
68	89	1200
69	89	1195
70	91	1192
71	92	1190
72	93	1186
73	94	1182
74	94	1171
75	96	1168
76	97	1164
77	98	1163
78	100	1172
79	101	1170
80	102	1168
81	104	1164
82	105	1161
83	106	1156
84	107	1152
85	108	1148
86	108	1137
87	109	1133
88	110	1130
89	110	1119
90	111	1109
91	112	1107
92	113	1104
93	114	1103
94	116	1107
95	117	1106
96	118	1104
97	119	1102
98	120	1099
99	121	1097
100	122	1089
101	123	1087
102	124	1085
103	125	1082
104	126	1081
105	127	1078
106	128	1074
107	131	1086
108	133	1088
109	134	1087
110	136	1090
111	137	1089
112	138	1089
113	139	1081
114	140	1080
115	141	1077
116	142	1075
117	143	1073
118	144	1072
119	146	1071
120	147	1073
121	148	1071
122	149	1069
123	151	1067
124	152	1065
125	153	1063
126	154	1061
127	155	1059
128	156	1057
129	157	1056
130	158	1054
131	160	1052
132	162	1058
133	163	1058
134	164	1057
135	166	1055
136	167	1053
137	168	1052
138	169	1051
139	170	1049
140	171	1045
141	172	1043
142	173	1041
143	174	1040
144	176	1040
145	178	1044
146	180	1044
147	181	1043
148	182	1041
149	183	1039
150	184	1037
151	185	1034
152	186	1032
153	187	1030
